game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
87,INPROC_3D7B0B,1,10,team2,Team 2 (E/W),37,83,30,♠,finished,2026-05-18T17:07:26.435692+00:00
88,INPROC_9ED0CF,1,10,team2,Team 2 (E/W),47,73,6,♣,finished,2026-05-18T17:07:26.451369+00:00
89,INPROC_3FE965,1,10,team2,Team 2 (E/W),15,105,12,♦,finished,2026-05-18T17:07:26.469961+00:00
90,INPROC_530174,1,10,team2,Team 2 (E/W),35,85,5,♣,finished,2026-05-18T17:07:26.486733+00:00
91,INPROC_E83C49,1,10,team2,Team 2 (E/W),36,84,5,♣,finished,2026-05-18T17:07:26.504372+00:00
92,INPROC_DC10A9,1,10,team2,Team 2 (E/W),44,76,35,♠,finished,2026-05-18T17:07:26.519939+00:00
93,INPROC_07419E,1,10,team2,Team 2 (E/W),23,97,35,♠,finished,2026-05-18T17:07:26.534545+00:00
94,INPROC_D6E90D,1,10,team1,Team 1 (N/S),69,51,12,♦,finished,2026-05-18T17:07:26.549320+00:00
95,INPROC_C7EE69,1,10,team2,Team 2 (E/W),14,106,33,♠,finished,2026-05-18T17:07:26.565319+00:00
96,INPROC_40D64D,1,10,team2,Team 2 (E/W),38,82,34,♠,finished,2026-05-18T17:07:26.579739+00:00
97,INPROC_D0D2BD,1,10,team1,Team 1 (N/S),75,45,16,♦,finished,2026-05-18T17:07:26.593557+00:00
98,INPROC_4D988A,1,10,team2,Team 2 (E/W),46,74,4,♣,finished,2026-05-18T17:07:26.608747+00:00
99,INPROC_2A62F9,1,10,team1,Team 1 (N/S),68,52,37,♠,finished,2026-05-18T17:07:26.624155+00:00
100,INPROC_CBED33,1,10,team2,Team 2 (E/W),45,75,9,♣,finished,2026-05-18T17:07:26.639793+00:00
101,INPROC_5BE81F,1,10,team2,Team 2 (E/W),46,74,39,♠,finished,2026-05-18T17:07:26.656700+00:00
102,INPROC_4F1A71,1,10,team1,Team 1 (N/S),88,32,20,♥,finished,2026-05-18T17:07:26.670975+00:00
103,INPROC_EE23BD,1,10,team2,Team 2 (E/W),31,89,12,♦,finished,2026-05-18T17:07:26.694859+00:00
104,INPROC_9944AC,1,10,team2,Team 2 (E/W),53,67,18,♦,finished,2026-05-18T17:07:26.710816+00:00
105,INPROC_08DDBF,1,10,team1,Team 1 (N/S),67,53,38,♠,finished,2026-05-18T17:07:26.725838+00:00
106,INPROC_F18B21,1,10,team2,Team 2 (E/W),23,97,25,♥,finished,2026-05-18T17:07:26.741976+00:00
107,INPROC_E97DFE,1,10,team1,Team 1 (N/S),66,54,3,♣,finished,2026-05-18T17:07:26.758075+00:00
108,INPROC_EFBE8B,1,10,team2,Team 2 (E/W),21,99,13,♦,finished,2026-05-18T17:07:26.774618+00:00
109,INPROC_BE2E75,1,10,team1,Team 1 (N/S),72,48,2,♣,finished,2026-05-18T17:07:26.792493+00:00
110,INPROC_56B3C3,1,10,team2,Team 2 (E/W),25,95,13,♦,finished,2026-05-18T17:07:26.809687+00:00
111,INPROC_926AF3,1,10,team2,Team 2 (E/W),6,114,19,♦,finished,2026-05-18T17:07:26.827182+00:00
112,INPROC_1317ED,1,10,team2,Team 2 (E/W),35,85,8,♣,finished,2026-05-18T17:07:26.843713+00:00
113,INPROC_F140E9,1,10,team1,Team 1 (N/S),69,51,32,♠,finished,2026-05-18T17:07:26.857830+00:00
114,INPROC_C6021F,1,10,team2,Team 2 (E/W),3,117,8,♣,finished,2026-05-18T17:07:26.873921+00:00
115,INPROC_581BCC,1,10,team2,Team 2 (E/W),15,105,19,♦,finished,2026-05-18T17:07:26.888530+00:00
116,INPROC_1FA67F,1,10,team2,Team 2 (E/W),19,101,17,♦,finished,2026-05-18T17:07:26.902418+00:00
117,INPROC_8A2F6A,1,10,team2,Team 2 (E/W),39,81,34,♠,finished,2026-05-18T17:07:26.918801+00:00
