game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played
17,2C065D,1,13,team2,0,0,0,13,4,S4:SOUTH:31 | E4:EAST:39 | N4:NORTH:32 | W4:WEST:35
17,2C065D,2,7,team1,0,13,7,13,4,E4:EAST:30 | N4:NORTH:36 | W4:WEST:14 | S4:SOUTH:37
17,2C065D,3,13,team1,7,13,20,13,3,S4:SOUTH:20 | E4:EAST:26 | N4:NORTH:28
17,2C065D,4,10,team1,20,13,30,13,4,N4:NORTH:25 | W4:WEST:21 | S4:SOUTH:27 | E4:EAST:7
17,2C065D,5,2,team2,30,13,30,15,4,S4:SOUTH:3 | E4:EAST:5 | N4:NORTH:2 | W4:WEST:1
17,2C065D,6,12,team2,30,15,30,27,4,E4:EAST:33 | N4:NORTH:24 | W4:WEST:15 | S4:SOUTH:18
17,2C065D,7,14,team2,30,27,30,41,4,E4:EAST:9 | N4:NORTH:6 | W4:WEST:0 | S4:SOUTH:4
17,2C065D,8,24,team2,30,41,30,65,4,E4:EAST:38 | N4:NORTH:13 | W4:WEST:17 | S4:SOUTH:8
17,2C065D,9,11,team1,30,65,41,65,4,E4:EAST:10 | N4:NORTH:11 | W4:WEST:12 | S4:SOUTH:19
17,2C065D,10,14,team2,41,65,41,79,4,S4:SOUTH:23 | E4:EAST:34 | N4:NORTH:29 | W4:WEST:16
