epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7986.51,0.38817,0.2998,0.8031,0.97755,0.98783,0.9899,0.95123,0.31711,0.20163,0.78706,0.001684,0.001684,0.001684
86,8078.94,0.38846,0.30028,0.80269,0.97796,0.98778,0.98995,0.95144,0.31694,0.20134,0.78701,0.001585,0.001585,0.001585
87,8171.22,0.38538,0.29778,0.80366,0.97919,0.98696,0.98999,0.95155,0.31679,0.20093,0.78697,0.001486,0.001486,0.001486
88,8263.56,0.38432,0.29448,0.80262,0.97917,0.98695,0.99001,0.95173,0.31651,0.20073,0.78691,0.001387,0.001387,0.001387
89,8355.76,0.38182,0.29224,0.80227,0.97969,0.9867,0.99003,0.95174,0.31618,0.20023,0.78686,0.001288,0.001288,0.001288
90,8448.12,0.38146,0.29038,0.80106,0.97941,0.987,0.99006,0.95186,0.31601,0.2001,0.78682,0.001189,0.001189,0.001189
91,8540.19,0.35174,0.2365,0.79584,0.97918,0.98731,0.99009,0.95203,0.31569,0.19982,0.78675,0.00109,0.00109,0.00109
92,8631.41,0.34788,0.23237,0.79604,0.97905,0.98733,0.99012,0.95205,0.31537,0.19935,0.78669,0.000991,0.000991,0.000991
93,8722.49,0.34429,0.22895,0.79644,0.97901,0.98749,0.99016,0.9522,0.31495,0.1991,0.78662,0.000892,0.000892,0.000892
94,8813.71,0.3435,0.22765,0.7959,0.97903,0.9878,0.99021,0.95239,0.31466,0.19876,0.78656,0.000793,0.000793,0.000793
95,8904.96,0.34162,0.22547,0.79429,0.97933,0.98779,0.99023,0.9526,0.31438,0.19852,0.78649,0.000694,0.000694,0.000694
96,8995.97,0.33921,0.2217,0.79356,0.97968,0.98752,0.99026,0.95269,0.31403,0.19812,0.78643,0.000595,0.000595,0.000595
97,9087.16,0.33812,0.21972,0.79367,0.98048,0.98663,0.99028,0.95288,0.31375,0.19786,0.78635,0.000496,0.000496,0.000496
98,9178.27,0.3355,0.21828,0.79462,0.9804,0.98667,0.99031,0.953,0.31341,0.19767,0.78628,0.000397,0.000397,0.000397
99,9271.41,0.33326,0.21449,0.79365,0.98027,0.98698,0.99033,0.95313,0.31312,0.19743,0.78624,0.000298,0.000298,0.000298
100,9366.55,0.33225,0.21371,0.79262,0.98086,0.98616,0.99035,0.95342,0.31288,0.19725,0.78618,0.000199,0.000199,0.000199
