round,player_name,position,card,player_id,timestamp
2,Rita,NORTH,13,9666a52b,1776952752.0082202
2,Serana,WEST,17,21a1c6c8,1776952752.0082202
2,Ava,SOUTH,19,25102457,1776952752.0816653
2,Alyssa,EAST,10,8d3094de,1776952752.0816653
2,Rita,NORTH,13,9666a52b,1776952752.0816653
2,Serana,WEST,17,21a1c6c8,1776952752.0816653
2,Ava,SOUTH,19,25102457,1776952752.1551955
2,Alyssa,EAST,10,8d3094de,1776952752.1551955
2,Rita,NORTH,13,9666a52b,1776952752.1551955
2,Serana,WEST,17,21a1c6c8,1776952752.1551955
2,Ava,SOUTH,19,25102457,1776952752.2314289
2,Alyssa,EAST,10,8d3094de,1776952752.2314289
2,Rita,NORTH,13,9666a52b,1776952752.2314289
2,Serana,WEST,17,21a1c6c8,1776952752.2314289
2,Ava,SOUTH,19,25102457,1776952752.307793
2,Alyssa,EAST,10,8d3094de,1776952752.307793
2,Rita,NORTH,13,9666a52b,1776952752.307793
2,Serana,WEST,17,21a1c6c8,1776952752.307793
2,Ava,SOUTH,19,25102457,1776952752.382271
2,Alyssa,EAST,10,8d3094de,1776952752.382271
2,Rita,NORTH,13,9666a52b,1776952752.382271
2,Serana,WEST,17,21a1c6c8,1776952752.382271
3,Ava,SOUTH,35,25102457,1776952752.5384932
3,Alyssa,EAST,32,8d3094de,1776952752.5384932
3,Ava,SOUTH,35,25102457,1776952752.6186256
3,Alyssa,EAST,32,8d3094de,1776952752.6186256
3,Ava,SOUTH,35,25102457,1776952752.7059627
3,Alyssa,EAST,32,8d3094de,1776952752.7059627
3,Rita,NORTH,31,9666a52b,1776952752.7059627
3,Ava,SOUTH,35,25102457,1776952752.7869601
3,Alyssa,EAST,32,8d3094de,1776952752.7869601
3,Rita,NORTH,31,9666a52b,1776952752.7869601
3,Serana,WEST,33,21a1c6c8,1776952752.7869601
3,Ava,SOUTH,35,25102457,1776952752.8716674
3,Alyssa,EAST,32,8d3094de,1776952752.8716674
3,Rita,NORTH,31,9666a52b,1776952752.8716674
3,Serana,WEST,33,21a1c6c8,1776952752.8716674
3,Ava,SOUTH,35,25102457,1776952752.9479601
3,Alyssa,EAST,32,8d3094de,1776952752.9479601
3,Rita,NORTH,31,9666a52b,1776952752.9479601
3,Serana,WEST,33,21a1c6c8,1776952752.9479601
3,Ava,SOUTH,35,25102457,1776952753.025837
3,Alyssa,EAST,32,8d3094de,1776952753.025837
3,Rita,NORTH,31,9666a52b,1776952753.025837
3,Serana,WEST,33,21a1c6c8,1776952753.025837
3,Ava,SOUTH,35,25102457,1776952753.104218
3,Alyssa,EAST,32,8d3094de,1776952753.104218
3,Rita,NORTH,31,9666a52b,1776952753.104218
3,Serana,WEST,33,21a1c6c8,1776952753.104218
3,Ava,SOUTH,35,25102457,1776952753.1815763
3,Alyssa,EAST,32,8d3094de,1776952753.1815763
3,Rita,NORTH,31,9666a52b,1776952753.1815763
3,Serana,WEST,33,21a1c6c8,1776952753.1815763
3,Ava,SOUTH,35,25102457,1776952753.260579
3,Alyssa,EAST,32,8d3094de,1776952753.260579
3,Rita,NORTH,31,9666a52b,1776952753.260579
3,Serana,WEST,33,21a1c6c8,1776952753.260579
3,Ava,SOUTH,35,25102457,1776952753.337124
3,Alyssa,EAST,32,8d3094de,1776952753.337124
3,Rita,NORTH,31,9666a52b,1776952753.337124
3,Serana,WEST,33,21a1c6c8,1776952753.337124
3,Ava,SOUTH,35,25102457,1776952753.4116418
3,Alyssa,EAST,32,8d3094de,1776952753.4116418
3,Rita,NORTH,31,9666a52b,1776952753.4116418
3,Serana,WEST,33,21a1c6c8,1776952753.4116418
3,Ava,SOUTH,35,25102457,1776952753.4874463
3,Alyssa,EAST,32,8d3094de,1776952753.4874463
