game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
112,INPROC_CC0B3E,1,10,team1,Team 1 (N/S),91,29,8,♣,finished,2026-05-18T16:33:20.699875+00:00
113,INPROC_45CEE1,1,10,team1,Team 1 (N/S),85,35,27,♥,finished,2026-05-18T16:33:20.716854+00:00
114,INPROC_152BDC,1,10,team1,Team 1 (N/S),69,51,6,♣,finished,2026-05-18T16:33:20.732998+00:00
115,INPROC_94D129,1,10,team1,Team 1 (N/S),100,20,35,♠,finished,2026-05-18T16:33:20.750096+00:00
116,INPROC_E7BDD0,1,10,team1,Team 1 (N/S),61,59,38,♠,finished,2026-05-18T16:33:20.766443+00:00
117,INPROC_24D29A,1,10,team1,Team 1 (N/S),70,50,3,♣,finished,2026-05-18T16:33:20.783513+00:00
118,INPROC_A07A9C,1,10,team1,Team 1 (N/S),68,52,18,♦,finished,2026-05-18T16:33:20.800504+00:00
119,INPROC_24780B,1,10,team2,Team 2 (E/W),58,62,19,♦,finished,2026-05-18T16:33:20.816793+00:00
120,INPROC_79E71C,1,10,team2,Team 2 (E/W),23,97,14,♦,finished,2026-05-18T16:33:20.833373+00:00
121,INPROC_9FCF49,1,10,team1,Team 1 (N/S),87,33,21,♥,finished,2026-05-18T16:33:20.848510+00:00
122,INPROC_6397A9,1,10,team1,Team 1 (N/S),62,58,19,♦,finished,2026-05-18T16:33:20.865104+00:00
123,INPROC_B0D60B,1,10,team2,Team 2 (E/W),44,76,19,♦,finished,2026-05-18T16:33:20.880655+00:00
124,INPROC_CA40F8,1,10,team1,Team 1 (N/S),86,34,39,♠,finished,2026-05-18T16:33:20.894415+00:00
125,INPROC_88854A,1,10,team2,Team 2 (E/W),31,89,20,♥,finished,2026-05-18T16:33:20.907159+00:00
126,INPROC_82D9A0,1,10,team1,Team 1 (N/S),87,33,8,♣,finished,2026-05-18T16:33:20.924681+00:00
127,INPROC_79A0D1,1,10,team1,Team 1 (N/S),81,39,36,♠,finished,2026-05-18T16:33:20.940431+00:00
128,INPROC_0EC468,1,10,team1,Team 1 (N/S),73,47,1,♣,finished,2026-05-18T16:33:20.956640+00:00
129,INPROC_6B977E,1,10,team1,Team 1 (N/S),83,37,21,♥,finished,2026-05-18T16:33:20.973675+00:00
